ID     Name          Location
1       Sierra Flower Trading Saint-Laurent, QC
191     Orange Paysagement   Montréal, QC

192     Ville de Montréal-Est Montréal, QC

193     Industries Desormeau Montréal, QC

194     Coffrages Synergy    Montréal, QC

195     USG Corporation      Montréal, QC

196     Le Groupe Canimex    Dollard-Des Ormeaux, QC

197     Compagnie d’embouteillage Coca-Cola Canada Limitée Montréal, QC

198     Ropack Pharma Solutions Anjou, QC

199     Vestshell            Montréal, QC

200     Dessana              Saint-leonard, QC

201     Bimbo Canada         Montréal, QC

202     Acier Pointe-Claire  Pointe-Claire, QC

203     FERRO Poisson et fruits de mer Saint-Laurent, QC

204     Pyradia              Saint-Hubert, QC

205     PACCAR               Sainte-Thérèse, QC

206     Honeywell            Lachine, QC

207     Mecaer America inc.  Laval, QC

208     ABIPA INTERNATIONAL  Boisbriand, QC

209     Sonoco               Terrebonne, QC

210     INGtech              Saint-Bruno-de-Montarville, QC

211     Theatrixx            Saint-Bruno-de-Montarville, QC

212     Moderco              Boucherville, QC

213     Enviro Connexions    Terrebonne, QC

214     AV-TECH INC.         Montréal, QC

215     Veolia               Montréal, QC

216     Sepaq                Boucherville, QC

217     Mecar Métal          Saint-Bruno-de-Montarville, QC

218     RTJ Landscaping      Dollard-Des Ormeaux, QC

219     Via Rail Canada      Hybrid remote in Montréal, QC

220     TECHNIPARC           Saint-Laurent, QC

221     Terrassement et Pavage Boisjoli Saint-Hubert, QC

222     TotalEnergies        Montréal, QC

223     ROLARK STAINLESS STEEL Montréal, QC

224     Ville de Châteauguay Châteauguay, QC

225     FDJ French Dressing Jeans Montréal, QC

226     Le Groupe TGC        Canal de la Rive Sud, QC

227     Hitachi Energy       Varennes, QC

228     Exceldor             Saint-Bruno-de-Montarville, QC

229     Verrerie Walker Ltée Montréal, QC

230     Major                Candiac, QC

231     GENTEK BUILDING PRODUCTS LTD Pointe-Claire, QC

232     Marriott International, Inc Montréal, QC

233     Shoppers Drug Mart / Pharmaprix Montréal, QC

234     Wesco                Saint-Laurent, QC

235     Fabrique de la paroisse Notre-Dame de Montréal Montréal, QC

236     Carlton Cards LTD    Remote in Montréal, QC

237     Bureau Veritas       Montréal, QC

238     FedEx Express Canada Saint-Laurent, QC

239     Messer Canada Inc    Montréal, QC

240     Chemotec             Anjou, QC

241     Ville de Montréal    Montréal, QC

242     Royal Montréal Golf Club Montréal, QC

243     Air Canada Rouge     Dorval, QC

244     Pratt & Whitney      Longueuil, QC

245     Indorama PTA Montréal Montréal-Est, QC

246     AkzoNobel            Montréal, QC

247     Preston Phipps Inc   Saint-Laurent, QC

248     Boulart Inc.         Lachine, QC

249     Hood Packaging Corp  Montréal, QC

250     Artopex              Laval, QC

251     Howmet Aerospace     Laval, QC

252     ETI Converting Equipment Longueuil, QC

253     Rose Hill Foods Inc. Les Alime Saint-Laurent, QC

254     Groupe Norbec inc    Hybrid remote in Boucherville, QC

255     Saint Gobain         Montréal, QC

256     Les Produits Scientific Games Remote in Montréal, QC

257     TGV Distribution     Terrebonne, QC

258     AIM SOLDER           Montréal, QC

259     XTL Transport, Logistics, Distribution Dorval, QC

260     Viandes Riendeau     Delson, QC

261     SYSCO FOOD SERVICES  Boucherville, QC

262     Télé Ciné Montréal   Montreal-nord, QC

263     National Cable Specialists Saint-Laurent, QC

264     Écho-Logique         Boucherville, QC

265     Patrick Morin Inc    Laval, QC

266     Bunzl Canada         Lachine, QC

267     Boulangerie L'Amour du Pain - Brossard Brossard, QC

268     Nouveau Parti démocratique du Canada Montréal, QC

269     FOR-NET MONTRÉAL INC. Dorval, QC

270     Ultra-Démolition     Montréal, QC

271     GardaWorld           Montréal, QC

272     Ricova Group Inc.    Brossard, QC

273     Modus Operandi Logistiques Montréal, QC

274     CYRCULIA             Laval, QC

275     The Salvation Army - NRO Montréal, QC

276     Tricentris tri transformation sensibilisation Terrebonne, QC

277     Mirazed              Saint-Hubert, QC

278     LISI Aerospace Canada Dorval, QC

279     Techo-Bloc           Saint-Hubert, QC

280     OpTalent             Boucherville, QC

281     Canam                Boucherville, QC

282     Randstad             Saint-Laurent, QC

283     Jolicoeur ltée       Montréal, QC

284     Anomera Inc          Montréal, QC

285     Moquin Amyot         Boucherville, QC

286     L'Oreal              Saint-Laurent, QC

287     135770 Canada ltée   Laval, QC

288     HLC Talent           Montreal-nord, QC

289     Novali Gourmet       Boucherville, QC

290     Balcan Innovations Inc. Laval, QC

291     Hagen Industries     Saint-Laurent, QC

292     Pharmascience Inc.   Candiac, QC

293     5N Plus Inc          Saint-Laurent, QC

294     GoodLeaf Farms       Saint-Hubert, QC

295     Cordon Bleu          Montréal, QC

296     Sanimax              Montréal, QC

297     THERMOPLAST          Laval, QC

298     L’École de Technologie Supérieure Montréal, QC

299     Groupe Bellemare     Sainte-Catherine, QC

300     H Grégoire Carignan  Carignan, QC

301     Groupe InnuScience Inc. Sainte-Julie, QC

302     Adecco Canada        Montréal-Est, QC

303     UPS CANADA           Lachine, QC

304     Nellson LLC          Anjou, QC

305     Alimentation Sunbec Food Inc. Laval, QC

306     Moishes              Montréal, QC

307     Provigo Distribution (Loblaws inc.) Boucherville, QC

308     The Shapiro Group    Longueuil, QC

309     Doyon Després        Longueuil, QC

310     Wolseley             Laval, QC

311     Laboratoires Confab inc Saint-Hubert, QC

312     Entrepôt Trans-Plus Inc Montréal, QC

313     Immobilier Lépine    Mont-royal, QC

314     The Group Master     Boucherville, QC

315     Molson Coors         Longueuil, QC

316     IDEA SERVICE         Anjou, QC

317     Lumen                Longueuil, QC

318     Agropur              Montréal, QC

319     Les Services Rack-Tek Inc. Laval, QC

320     Safran Cabin         Kirkland, QC

321     iSaute               Kirkland, QC

322     Groupe Forum         Montréal, QC

323     Agence Le Gardeur, Industrielle Alliance,... Hybrid remote in Repentigny, QC

324     Michael Page CA      Montréal, QC

325     Pharmacie Proxim (Hopital General Juif) Montréal, QC

326     KINKA FAMILY         Laval, QC

327     Double Solution      Montréal, QC

328     La Grande Roue de Montreal Montréal, QC

329     Cogir Immobilier - Manoir Fontainebleau Blainville, QC

330     Lester B. Pearson School Board Montréal, QC

331     Steve Madden         Saint-Laurent, QC

332     Mid-Day Squares      Lachine, QC

333     Kruger Inc           Hybrid remote in Montréal, QC

334     Gilles Grenier       Montréal, QC

335     MOBILFAB             Montréal, QC

336     Church & Dwight      Montréal, QC

337     Groupe G&G (2021)    Saint-leonard, QC

338     Demix Construction – Une société CRH Laval, QC

339     Archer Daniels Midland Company Montréal, QC

340     Cendrex              Montreal-nord, QC

341     TotalEnergies Marketing Canada Inc. Lasalle, QC

342     Montebello Packaging Lachine, QC

343     MONTREAL NEON SIGNS  Laval, QC

344     Oldcastle Infrastructure Candiac, QC

345     Fenplast             Candiac, QC

346     LES CHIMIQUES B.O.D. INC Saint-Hubert, QC

347     Plomberie Gilles David Montréal, QC

348     Mission Bon Accueil  Montréal, QC

349     Blanc de gris - Champignons frais inc. Montréal, QC

350     BELFOR CANADA INC.   Saint-Laurent, QC

351     Martel Paysagiste Inc. Sainte-Julie, QC

352     CIUSSS du Centre-Ouest-de-l'Île-de-Montréal Montréal, QC

353     DU VERT AU ROUGE INC. Montréal, QC

354     Rénovations MAB      Longueuil, QC

355     AFA Forest Products  Longueuil, QC

356     Gillfor Distribution Longueuil, QC

357     Smardt               Dorval, QC

358     Degesch America, Inc. Montréal, QC

359     CIUSSS de l’Est-de-l’Île-de-Montréal Montréal, QC

360     Maple Leaf Foods     Laval, QC

361     PCM Innovation       Longueuil, QC

362     G Canada Therapeutics Montréal, QC

363     AtkinsRéalis         Remote in Montréal, QC

364     Metaltech-Omega      Laval, QC

365     Jubilant Pharma Holdings Inc. Montréal, QC

366     Greenfield Global Inc. Varennes, QC

367     Wonderbrands         Longueuil, QC

368     Ville de Kirkland    Kirkland, QC

369     Matrices Montréal Dies Saint-Laurent, QC

370     Échafauds Plus (Laval) inc. Laval, QC

371     Church & Dwight Co.  Montréal, QC

372     Indigo Park Canada Inc Hybrid remote in Montréal, QC

373     TELUS International  Montréal, QC

374     GCK Construction     Montréal, QC

375     Hydro Québec         Hybrid remote in Montréal, QC

376     Pointe-Claire Yacht Club Pointe-Claire, QC

377     La Senza             Montréal, QC

378     CHSLD AGE3           Laval, QC

379     Fundraising Direct   Montréal, QC

380     Wendy's              Montréal, QC

381     Grass Valley         Montréal, QC

382     Recyclage st-bruno   Saint-Bruno-de-Montarville, QC

383     RHI Magnesita        Boucherville, QC

384     Atco Ltd.            Montréal, QC

385     JP Carton            Saint-Hubert, QC

386     Energir              Montréal, QC

387     Milky Way            Montréal, QC

388     EBI                  Montréal-Est, QC

389     Rona Inc.            Hybrid remote in Boucherville, QC

390     Amazon Canada Fulfillment Services, ULC. Laval, QC

391     Dollarama            Laval, QC

392     Artemis Recrutement  Lachine, QC

393     Sonepar              Longueuil, QC

394     Les Fourgons Transit Laval, QC

395     La Baie d'Hudson     Laval, QC

396     Équipement SMS inc   Laval, QC

397     Pure Plomberie       Saint-Laurent, QC

398     Groupe TYT           Côte-Saint-Luc, QC

399     Samuel, Son & Co., Limited Laval, QC

400     1300-Applied Industrial Technology Brossard, QC

401     Fluide Dynamique     Mont-royal, QC

402     Hoom Consulting      Hybrid remote in Montréal, QC

403     McGill University Health Centre Foundation Hybrid remote in Montréal, QC

404     NOVA l'ouest de l'ile / NOVA West Island West Island, QC

405     Leader Auto Ressources LAR Inc Pointe-Claire, QC

406     Ericsson             Montréal, QC

407     Cartier et Lelarge   Montréal, QC

408     Groupe Randolph      Remote in Montréal, QC

409     FortNine             Montréal, QC

410     CMC Électronique     Saint-Laurent, QC

411     Olymbec              Saint-Laurent, QC

412     Université du Québec à Montréal Montréal, QC

413     Centre universitaire de santé McGill Montréal, QC

414     Six Flags            Montréal, QC

415     Canada Malting       Montréal, QC

416     Le Phare Enfants et Families Montréal, QC

417     G.S.D GROUP INC      Laval, QC

418     Equans               Saint-Laurent, QC

419     Noble - Quebec       Montréal, QC

420     Cirque du Soleil     Montréal, QC

421     Bell Technical Solutions Montréal, QC

422     Héma-Québec          Montréal, QC

423     Acier Lachine        Lachine, QC

424     Groupe Morneau       Anjou, QC

425     CAP St-Barnabé       Montréal, QC

426     Les Brasseries Labatt Ltée Lasalle, QC

427     Inso IT Solutions    Montréal, QC

428     Recyclage de métaux Intégré Saint-Hubert, QC

429     Warco Iron & Metal   Châteauguay, QC

430     DRW Montreal         Montréal, QC

431     Tricentris           Terrebonne, QC

432     Groupe DBM inc.      Laval, QC

433     Fresh Prep Foods Inc Saint-Laurent, QC

434     Kiewit Craft         Pointe-aux-trembles, QC

435     Kruger               Montréal, QC

436     Domtar               Hybrid remote in Montréal, QC

437     Dusco Doors          Montréal, QC

438     Link Talent          Boisbriand, QC

439     ClubLink             Laval, QC

440     HAPOPEX              Montréal, QC

441     Ricoh Canada         Montréal, QC

442     Environnement Routier NRJ Inc. Remote in Lachine, QC

443     Fuel Transport Inc   Lasalle, QC

444     Cliniques Michel Pop Montréal, QC

445     West Fraser          Saint-Laurent, QC

446     Mosaic               Verdun, QC

447     Collège de l'immobilier du Québec Hybrid remote in Verdun, QC

448     Moderna              Laval, QC

449     Acier Picard         Varennes, QC

450     Groupe Robert        Laval, QC

451     Fuze Logistics Services Inc Montréal, QC

452     Vantage Logistics Services Dorval, QC

453     PRINCE LOGISTIC SERVICES Lachine, QC

454     Cre transport        Terrebonne, QC

455     Lactalis Canada      Saint-Bruno-de-Montarville, QC

456     SOS DÉCOR            Lachine, QC

457     LUX FBO              Longueuil, QC

458     La Compagnie Électrique Lion Terrebonne, QC

459     CA TRANSPORT INC     Boisbriand, QC

460     Couche-Tard          Laval, QC

461     LUDA Foods           Pointe-Claire, QC

462     Avior                Laval, QC

463     Damotech             Boisbriand, QC

464     Cascades             Montréal, QC

465     Point Zero           Montréal, QC

466     ePac Flexible Packaging Lachine, QC

467     MAPEI Inc.           Laval, QC

468     Multi-Color Corporation Saint-Laurent, QC

469     Proman Canada inc.   Saint-Laurent, QC

470     AGF Rebar Inc.       Laval, QC

471     Le Glenmount Residence Mont-royal, QC

472     Barrette Structural Inc. Saint-Eustache, QC

473     GLT+                 Saint-Hubert, QC

474     EnGlobe Corp.        Remote in Varennes, QC

475     Gestion Jomats Inc.  Longueuil, QC

476     Services d'entretien Bee-Clean Montréal, QC

477     The Minto Group      Montréal, QC

478     Le GESÙ Centre de Créativité Montréal, QC

479     Socadis              Saint-Laurent, QC

480     Westburne            Montréal, QC

481     SOS DECOR            Montréal, QC

482     Importer / Distributor Saint-Laurent, QC

483     Clarins              Laval, QC

484     PepsiCo              Laval, QC

485     Montreal Mini Storage Montréal, QC

486     CMP Advanced Mechanical Solutions Châteauguay, QC

487     Café Napoléon        Montréal, QC

488     Mitchel Lincoln      Saint-Laurent, QC

489     Groupe NRTECK        Longueuil, QC

490     Fenêtres Summum      Terrebonne, QC

491     Aquafab              Terrebonne, QC

492     Armodec              Laval, QC

493     Roxboro Excavation   Dorval, QC

494     BARRIÈRE QMB INC.    Remote in Laval, QC

495     Acier Lague          Longueuil, QC

496     POL R inc            Anjou, QC

497     toitures BOUD        Longueuil, QC

498     Profecta             Longueuil, QC

499     Lefebvre & Benoit    Laval, QC

500     Groupe Mentor        Montréal, QC

501     Les cuisines D.S. Inc. Laval, QC

502     Compresseurs Arctic Inc. Laval, QC

503     Atria Immobilier inc. Montréal, QC

504     Terrassement Création GB Brossard, QC

505     GUAY                 Montréal-Est, QC

506     Alco VR              Laval, QC

507     Soremag              Laval, QC

508     Le groupe Honco      Anjou, QC

509     Beanfield Technologies Inc. Town of Mount-Royal, QC

510     PROMIS               Saint-Laurent, QC

511     Département de Chimie, Université de Montréal Montréal, QC

512     Piri Piri            Mont-royal, QC

513     AIM RECYCLAGE        Montréal, QC

514     ÉBÉNISTERIE ÉLÉGANCE Terrebonne, QC

515     Guerriero Landscaping Inc Lachine, QC

516     Meubles de jardin Brossard Inc. Saint-Jean-sur-Richelieu, QC

517     Prestige Paysage     Terrebonne, QC

518     Art Pavé inc         Laval, QC

519     Société québécoise des infrastructures Montréal, QC

520     Rio Tinto            Montréal, QC

521     CHUM                 Montréal, QC

522     Les Entreprises Roseneige inc. Terrebonne, QC

523     Hôpital Marie-Clarac Montréal, QC

524     Excelsoins           Sainte-Geneviève, QC

525     Sofina Foods Inc     Quebec Province

526     Groom & Associes     Montréal, QC

527     dville management    Brossard, QC

528     Vertika inc.         Saint-leonard, QC

529     ACIER BOUCHARD INC   Saint-Bruno-de-Montarville, QC

530     Héritage Portes et Fenêtres Laval, QC

531     ADS Signalisation    Sainte-Catherine, QC

532     Porte Accent         Saint-Hubert, QC

533     Sunkiss-EPI          Bois-des-Filion, QC

534     INNO CUISINE PAR HEC3 Boucherville, QC

535     ÉBÉNISTERIES SAMSON / SAMUEL Chambly, QC

536     Match Retail         Montréal, QC

537     Consignaction - AQRCB Hybrid remote in Montréal, QC

538     Gameloft Montréal    Montréal, QC

539     Sûreté du Québec     Montréal, QC

540     Decasult             Hybrid remote in Montréal, QC

541     Société d'Habitation Populaire de l'Est de... Montréal, QC

542     Recyclage Hana Inc.  Lasalle, QC

543     Bralexo              Montréal, QC

544     Le Glenmount         Montréal, QC

545     Ville de Bois-des-Filion Bois-des-Filion, QC

